,winner,num_moves,first_player.id,first_player.depth,first_player.times,first_player.num_nodes_gen,second_player.id,second_player.depth,second_player.times,second_player.num_nodes_gen
37,2,36,PlayerBFMM,6,"[0.019489, 0.009188, 0.042143, 0.020105, 0.006846, 0.007229, 0.011689, 0.00558, 0.005752, 0.034381, 0.026728, 0.013115, 0.008175, 0.008279, 0.006446, 0.011984, 0.01269, 0.009311]",2681,PlayerBFMM,3,"[0.002285, 0.00347, 0.003351, 0.003055, 0.003461, 0.003428, 0.002801, 0.002816, 0.004534, 0.001584, 0.00268, 0.002758, 0.003007, 0.00235, 0.00337, 0.002739, 0.002531, 0.00034]",503
38,2,36,PlayerBFMM,6,"[0.019825, 0.013571, 0.03341, 0.003279, 0.005193, 0.008702, 0.037258, 0.014839, 0.024032, 0.005875, 0.007745, 0.009752, 0.007965, 0.004002, 0.003172, 0.002771, 0.002728, 0.001305]",2285,PlayerBFMM,4,"[0.019305, 0.002696, 0.003761, 0.002518, 0.002005, 0.006205, 0.01072, 0.004067, 0.004388, 0.003533, 0.003753, 0.006024, 0.002564, 0.002575, 0.002037, 0.001851, 0.001785, 0.000297]",875
39,2,36,PlayerBFMM,6,"[0.020298, 0.013575, 0.034065, 0.00334, 0.005088, 0.008636, 0.038452, 0.015269, 0.023419, 0.005546, 0.008762, 0.009496, 0.007927, 0.003215, 0.003221, 0.002937, 0.00243, 0.001201]",2285,PlayerBFMM,5,"[0.022262, 0.007654, 0.004332, 0.00305, 0.004539, 0.006692, 0.012308, 0.008199, 0.005552, 0.004004, 0.006762, 0.006986, 0.003323, 0.003134, 0.002445, 0.00261, 0.001885, 0.000247]",1100
40,1,31,PlayerBFMM,6,"[0.019774, 0.018262, 0.006085, 0.036205, 0.027294, 0.018713, 0.008942, 0.015934, 0.02939, 0.025323, 0.010977, 0.028934, 0.009013, 0.006456, 0.008924, 0.000399]",2822,PlayerBFMM,6,"[0.029453, 0.006392, 0.021018, 0.019092, 0.029334, 0.008484, 0.008015, 0.016467, 0.033697, 0.022965, 0.077461, 0.0282, 0.008344, 0.038083, 0.008106]",3441
41,1,37,PlayerBFMM,6,"[0.019502, 0.010016, 0.093608, 0.035126, 0.014943, 0.074935, 0.031148, 0.009345, 0.012868, 0.012731, 0.010194, 0.033246, 0.010065, 0.010081, 0.008039, 0.007295, 0.005349, 0.004298, 0.000338]",4440,PlayerBFMM,7,"[0.079225, 0.095744, 0.042356, 0.016024, 0.089199, 0.036436, 0.010263, 0.032115, 0.013081, 0.023169, 0.043548, 0.011569, 0.023659, 0.013709, 0.009903, 0.006797, 0.010536, 0.003319]",5976
42,1,7,PlayerBFMM,7,"[0.02811, 0.006537, 0.016228, 0.000342]",699,PlayerBFMM,1,"[0.000451, 0.000464, 0.000476]",21
43,2,38,PlayerBFMM,7,"[0.028276, 0.032748, 0.046066, 0.022689, 0.008208, 0.021567, 0.036457, 0.006661, 0.02553, 0.043168, 0.044164, 0.024224, 0.020728, 0.016587, 0.0248, 0.008373, 0.027826, 0.007335, 0.004882]",4640,PlayerBFMM,2,"[0.00163, 0.002961, 0.003919, 0.002735, 0.001835, 0.000948, 0.00222, 0.002615, 0.002619, 0.000854, 0.002454, 0.001636, 0.002017, 0.00158, 0.001555, 0.002081, 0.002145, 0.002391, 0.000446]",361
44,2,38,PlayerBFMM,7,"[0.033457, 0.036596, 0.048587, 0.022641, 0.009135, 0.022088, 0.037082, 0.006119, 0.025334, 0.045091, 0.046221, 0.026041, 0.023003, 0.017893, 0.026605, 0.008278, 0.026029, 0.007146, 0.004713]",4640,PlayerBFMM,3,"[0.002563, 0.003832, 0.003494, 0.003287, 0.003689, 0.003398, 0.002853, 0.002792, 0.002791, 0.001698, 0.003399, 0.002317, 0.002732, 0.002854, 0.002792, 0.002844, 0.003765, 0.002996, 0.000533]",530
45,2,36,PlayerBFMM,7,"[0.029946, 0.0134, 0.033588, 0.004005, 0.016908, 0.078559, 0.047136, 0.032688, 0.02916, 0.008266, 0.012615, 0.012018, 0.009488, 0.004626, 0.004286, 0.003143, 0.002876, 0.001311]",3687,PlayerBFMM,4,"[0.020279, 0.002702, 0.004445, 0.003309, 0.001972, 0.00618, 0.011, 0.004313, 0.005345, 0.003741, 0.004129, 0.00735, 0.003016, 0.002777, 0.002177, 0.00201, 0.001956, 0.000264]",875
46,2,36,PlayerBFMM,7,"[0.029822, 0.014368, 0.038496, 0.004703, 0.018909, 0.081067, 0.046301, 0.031284, 0.027341, 0.006931, 0.010831, 0.010563, 0.008395, 0.003707, 0.00381, 0.003049, 0.002472, 0.001232]",3687,PlayerBFMM,5,"[0.020323, 0.007399, 0.005173, 0.003314, 0.004941, 0.007278, 0.011495, 0.008441, 0.005075, 0.004201, 0.006885, 0.006806, 0.003493, 0.003033, 0.002358, 0.002439, 0.001913, 0.000252]",1100
